rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
27,PENGU/USDT,7,🚀 Pump,56,15m,3,7,ADX_15m=26.4 WilliamsR_15m=-85.5 ADX_1h=46.4 ROC_1h=5.1 ADX_4h=33.3 CCI_4h=146.8 ROC_4h=19.5
28,AI16Z/USDT,7,🚀 Pump,56,15m,2,7,ADX_5m=30.0 CCI_15m=-125.9 WilliamsR_15m=-92.1 CCI_1h=-176.2 WilliamsR_1h=-94.6 ADX_4h=26.0 ROC_4h=6.8
29,COMP/USDT,7,🚀 Pump,56,15m,0,7,CCI_15m=-128.8 WilliamsR_15m=-85.2 ADX_1h=58.5 RSI_4h=71.5 ADX_4h=47.9 CCI_4h=119.2 ROC_4h=28.4
30,ETHFI/USDT,7,🚀 Pump,56,15m,1,7,CCI_5m=-218.4 WilliamsR_5m=-91.2 WilliamsR_15m=-94.1 ADX_1h=53.6 ADX_4h=33.4 CCI_4h=116.7 ROC_4h=18.8
31,NEIROCTO/USDT,7,🚀 Pump,56,15m,0,7,ADX_5m=25.5 CCI_15m=-119.0 WilliamsR_15m=-91.8 ADX_1h=55.8 ADX_4h=31.7 CCI_4h=112.1 ROC_4h=22.1
32,S/USDT,7,🚀 Pump,56,15m,0,7,CCI_5m=-101.0 WilliamsR_5m=-84.2 CCI_15m=-102.7 WilliamsR_15m=-93.9 ADX_1h=28.4 CCI_4h=108.2 ROC_4h=6.1
33,NAKA/USDT,7,🚀 Pump,56,15m,1,7,ADX_5m=33.0 ADX_15m=37.5 ADX_1h=36.7 WilliamsR_1h=-89.4 ROC_1h=-6.6 ADX_4h=32.4 ROC_4h=6.8
34,JTO/USDT,7,🚀 Pump,56,15m,2,7,ADX_15m=34.3 WilliamsR_15m=-86.0 ADX_1h=51.1 ROC_1h=9.9 ADX_4h=37.4 CCI_4h=205.9 ROC_4h=15.2
35,JASMY/USDT,7,🚀 Pump,56,15m,0,7,WilliamsR_5m=-84.6 CCI_15m=-117.2 WilliamsR_15m=-93.1 ADX_1h=37.5 ADX_4h=27.4 CCI_4h=121.8 ROC_4h=8.1
36,PFVS/USDT,7,🚀 Pump,56,15m,0,7,ADX_5m=27.5 WilliamsR_5m=-90.5 ADX_15m=28.5 WilliamsR_15m=-90.5 WilliamsR_1h=-92.4 CCI_4h=-124.5 ROC_4h=-8.0
37,HYPE/USDT,6,Watch,48,15m,3,6,CCI_15m=-103.7 WilliamsR_15m=-81.0 ADX_1h=40.2 ADX_4h=41.3 CCI_4h=119.8 ROC_4h=15.9
38,TAO/USDT,6,Watch,48,15m,0,6,WilliamsR_5m=-89.2 WilliamsR_15m=-94.8 ADX_1h=27.5 WilliamsR_1h=-81.0 ADX_4h=32.1 ROC_4h=8.7
39,AVAX/USDT,6,Watch,48,15m,1,6,ADX_5m=25.6 WilliamsR_15m=-84.1 ADX_1h=25.2 ADX_4h=26.6 CCI_4h=110.5 ROC_4h=6.8
40,USDC/USDT,6,Watch,48,15m,0,6,ADX_5m=43.2 ADX_15m=41.2 CCI_15m=-142.9 WilliamsR_15m=-100.0 ADX_1h=44.8 CCI_4h=167.2
41,LINK/USDT,6,Watch,48,15m,0,6,WilliamsR_15m=-89.2 ADX_1h=49.1 RSI_4h=70.4 ADX_4h=30.1 CCI_4h=133.6 ROC_4h=10.7
42,RESOLV/USDT,6,Watch,48,15m,0,6,ADX_5m=29.4 ROC_5m=-9.4 ADX_15m=30.0 CCI_15m=-139.0 WilliamsR_15m=-84.4 ROC_15m=-7.9
43,TIA/USDT,6,Watch,48,15m,0,6,WilliamsR_5m=-85.0 CCI_15m=-120.6 WilliamsR_15m=-96.2 ADX_1h=28.8 CCI_4h=116.9 ROC_4h=7.8
44,MIRAI/USDT,6,Watch,48,15m,0,6,CCI_5m=-158.1 WilliamsR_5m=-100.0 ADX_15m=25.5 WilliamsR_15m=-96.0 ADX_1h=35.4 ROC_1h=7.0
45,AIOZ/USDT,6,Watch,48,15m,0,6,CCI_15m=-100.0 WilliamsR_15m=-89.2 ADX_1h=52.8 WilliamsR_1h=-81.9 ADX_4h=41.7 ROC_4h=29.5
46,MOODENG/USDT,6,Watch,48,15m,0,6,ADX_5m=34.0 CCI_5m=-154.0 CCI_15m=-136.3 WilliamsR_15m=-89.6 CCI_1h=-129.9 WilliamsR_1h=-83.8
47,W/USDT,6,Watch,48,15m,0,6,ADX_5m=33.8 CCI_15m=-110.3 WilliamsR_15m=-84.0 ADX_1h=25.9 CCI_4h=123.9 ROC_4h=7.5
48,TRB/USDT,6,Watch,48,15m,0,6,ADX_5m=27.0 CCI_5m=-116.2 WilliamsR_5m=-92.0 CCI_15m=-126.1 WilliamsR_15m=-95.9 WilliamsR_4h=-88.5
49,OP/USDT,6,Watch,48,15m,1,6,CCI_15m=-105.3 WilliamsR_15m=-83.9 ADX_1h=42.4 ADX_4h=27.3 CCI_4h=144.4 ROC_4h=17.1
50,SEI/USDT,6,Watch,48,15m,1,6,CCI_15m=-116.2 WilliamsR_15m=-89.8 ADX_1h=42.1 ADX_4h=25.9 CCI_4h=137.0 ROC_4h=8.3
